Format
filename:hash | version1, version1.2, etc...
tor:ec13cff213ffe7c6fe4feedb299b15d5 | 5.0.5 , 5.0.6 , 5.0.7
tor:4d28e9a5982b4bc653ae95af6e00f786 | 5.0a2
tor:927270918d8f5dfbe95f0ca5474c72ca | 5.0a3
tor:b6ea4b3a766c5c559a36c99d1146c6dc | 5.0a4 , 5.5a1 , 5.5a2
libevent-2.0.so.5:b3ff885b3af76854a9cc03f388e9f1ff | 5.5.1 , 5.5.2 , 5.5.3 , 5.5.4 , 5.5.5 , 5.5 , 5.5a3 , 5.5a4 , 5.5a5 , 5.5a6
tor:592102c15ac689d24b7d1644c3ba7d16 | 5.5.1 , 5.5.2 , 5.5 , 5.5a5 , 5.5a6
libcrypto.so.1.0.0:21761b9659dbf0d75db5b1c4faa4f9fa | 5.5.3 , 5.5.4 , 5.5.5
libssl.so.1.0.0:cf1a4fad85c885b807f8526a67c48414 | 5.5.3 , 5.5.4 , 5.5.5
tor:9f92afd9bb21e4e40afc4c9f14c8e528 | 5.5.3 , 5.5.4 , 5.5.5
tor:feeb1ad49448ebe7e178f3e8e0cb633f | 5.5a3
tor:4f0eb734fe0b5c13d878da4d12b4f4e0 | 5.5a4
libcrypto.so.1.0.0:b8fbd124243d9e5151d42f1829ca5e90 | 6.0.1 , 6.0.2 , 6.0.3 , 6.0.4 , 6.0.5 , 6.0
libevent-2.0.so.5:9e3e14a9a2a59f86f0887db7f6fe3965 | 6.0.1 , 6.0.2 , 6.0.3 , 6.0.4 , 6.0.5 , 6.0.6 , 6.0.7 , 6.0.8 , 6.0 , 6.0a1 , 6.0a2 , 6.0a3 , 6.0a4 , 6.0a5 , 6.5.1 , 6.5.2 , 6.5 , 6.5a1 , 6.5a2 , 6.5a3 , 6.5a4 , 6.5a5 , 6.5a6 , 7.0.1 , 7.0.10 , 7.0.11 , 7.0.2 , 7.0.3 , 7.0.4 , 7.0.5 , 7.0.6 , 7.0.7 , 7.0.8 , 7.0.9 , 7.0 , 7.0a1 , 7.0a2 , 7.0a3
libgmp.so.10:b642b12877b43aad0ed0a962d34d0021 | 6.0.1 , 6.0.2 , 6.0.3 , 6.0.4 , 6.0.5 , 6.0.6 , 6.0.7 , 6.0.8 , 6.0 , 6.0a1 , 6.0a2 , 6.0a3 , 6.0a4 , 6.0a5 , 6.5.1 , 6.5.2 , 6.5 , 6.5a1 , 6.5a2 , 6.5a3 , 6.5a4 , 6.5a5 , 6.5a6 , 7.0.1 , 7.0.10 , 7.0.11 , 7.0.2 , 7.0.3 , 7.0.4 , 7.0.5 , 7.0.6 , 7.0.7 , 7.0.8 , 7.0.9 , 7.0 , 7.0a1 , 7.0a2 , 7.0a3
libssl.so.1.0.0:3480655076f99a9d346d24f84434dc97 | 6.0.1 , 6.0.2 , 6.0.3 , 6.0.4 , 6.0.5 , 6.0 , 6.5a1 , 6.5a2
libstdc++.so.6:a7d556b216ce4c28d9c6e614f5914c4c | 6.0.1 , 6.0.2 , 6.0.3 , 6.0.4 , 6.0.5 , 6.0.6 , 6.0.7 , 6.0.8 , 6.0 , 6.0a1 , 6.0a2 , 6.0a3 , 6.0a4 , 6.0a5 , 6.5.1 , 6.5.2 , 6.5 , 6.5a1 , 6.5a2 , 6.5a3 , 6.5a4 , 6.5a5 , 6.5a6 , 7.0.1 , 7.0.10 , 7.0.11 , 7.0.2 , 7.0.3 , 7.0.4 , 7.0.5 , 7.0.6 , 7.0.7 , 7.0.8 , 7.0.9 , 7.0 , 7.0a1 , 7.0a2 , 7.0a3 , 7.0a4 , 7.5a1 , 7.5a2 , 7.5a3
tor:312c315db077ba44970e25fbce083254 | 6.0.1 , 6.0.2 , 6.0.3 , 6.0
tor:6ffad5f11e3bddba730ae4e7e321b216 | 6.0.4
tor:6bdb09cb14c782fefd94d02fff3213dc | 6.0.5
libcrypto.so.1.0.0:8a5c5cdd0d97552accc26c163bdee8b5 | 6.0.6 , 6.0.7 , 6.0.8
libssl.so.1.0.0:abcd133cbdd07e9388244887f4f0039f | 6.0.6 , 6.0.7 , 6.0.8
tor:bf5233812e1a110c6afe7a8fc6a2f2d4 | 6.0.6 , 6.0.7
tor:9192cf74f99a9b6915a4e30a80be9545 | 6.0.8
libcrypto.so.1.0.0:5b2fe5cddbba39bd39432586ea9ec48e | 6.0a1 , 6.0a2
libssl.so.1.0.0:c595b50de495d3544fe8acc91298eac5 | 6.0a1 , 6.0a2
tor:3caa3c9c0f6cbae6bfd0c7fd7419c339 | 6.0a1 , 6.0a2
libcrypto.so.1.0.0:6d029d0bc9bd8763d0353f76121ff488 | 6.0a3 , 6.0a4 , 6.0a5
libssl.so.1.0.0:cbd618078526d0c1c78b43217f004b57 | 6.0a3 , 6.0a4 , 6.0a5
tor:368f794cc2b65a12fcc80f992d85fc98 | 6.0a3 , 6.0a4
tor:10a6933f4a83d4ffed98b63b91de2c9f | 6.0a5
libcrypto.so.1.0.0:e53c96eca5e492dc1b0b0fa15765c7d3 | 6.5.1 , 6.5.2 , 7.0.1 , 7.0.10 , 7.0.11 , 7.0.2 , 7.0.3 , 7.0.4 , 7.0.5 , 7.0.6 , 7.0.7 , 7.0.8 , 7.0.9 , 7.0 , 7.0a2 , 7.0a3
libssl.so.1.0.0:6c3838a7f2dbc657e805128de222aabc | 6.5.1 , 6.5.2 , 7.0.1 , 7.0.10 , 7.0.11 , 7.0.2 , 7.0.3 , 7.0.4 , 7.0.5 , 7.0.6 , 7.0.7 , 7.0.8 , 7.0.9 , 7.0 , 7.0a2 , 7.0a3
tor:2b37ef7e7d936db430b2f84d5a4a9bab | 6.5.1 , 6.5.2
libcrypto.so.1.0.0:68ccca342fbf53bcfcf436d45165042d | 6.5 , 6.5a4 , 6.5a5 , 6.5a6 , 7.0a1
